time,A,B,k,default
0,1,0,0.8,1
1,0.449329095280897,0.550670904719103,0.8,1
2,0.2018966358659494,0.7981033641340506,0.8,1
3,0.09071803273390376,0.909281967266096,0.8,1
4,0.04076225157398777,0.9592377484260118,0.8,1
5,0.01831566562135224,0.9816843343786474,0.8,1
6,0.008229761463109631,0.9917702385368899,0.8,1
7,0.003697871272596641,0.9963021287274029,0.8,1
8,0.001661561153381068,0.9983384388466184,0.8,1
9,0.0007465877698025991,0.9992534122301968,0.8,1
10,0.0003354636071531845,0.9996645363928461,0.8,1
